x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89666.48976427523,43126.584451790106,0.0,0.0,0.0,-0.8506508083520399,0.5257311121191336,2.7777777777777777
89665.27944236464,43124.16380796892,0.0,0.0,0.0,-0.9216673852827808,0.38798096719555997,8.333333333333334
89663.79527693687,43122.64516355841,0.0,0.0,0.0,-0.9524932183117659,0.3045597955576125,8.333333333333334
89661.16758287894,43120.77338148976,0.0,0.0,0.0,-0.9544951223169419,0.29822652711180175,11.11111111111111
89658.1342882016,43118.67285395878,0.0,0.0,0.0,-0.9650642388197074,0.2620133869697095,11.11111111111111
89655.88160849406,43117.352317578494,0.0,0.0,0.0,-0.9644406497123836,0.2642995141545958,11.11111111111111
89653.78428600772,43116.10945980882,0.0,0.0,0.0,-0.972449412620925,0.23311400621416564,11.11111111111111
89651.80456250998,43115.10243921139,0.0,0.0,0.0,0.9903342737785873,0.13870121188885892,11.11111111111111
89648.29147900014,43116.106177357055,0.0,0.0,0.0,0.972741655788655,0.23189150716131438,11.11111111111111
89645.18333166563,43117.67736756238,0.0,0.0,0.0,0.9816131612759941,0.19088111904991856,13.88888888888889
89643.27204630995,43118.44990369732,0.0,0.0,0.0,0.9852774838953845,0.17096280217866222,13.88888888888889
89641.73405561846,43119.00020878279,0.0,0.0,0.0,0.9689831089754106,0.24712696032676704,13.88888888888889
89639.92971443507,43119.98458575821,0.0,0.0,0.0,0.9804271115823361,0.19688239858940548,13.88888888888889
89637.20811400893,43121.123581569846,0.0,0.0,0.0,0.9630128543331186,0.2694554552967518,13.88888888888889
89634.98558551187,43122.472973871634,0.0,0.0,0.0,0.9496202381332636,0.3134029408408986,13.88888888888889
89632.84243303257,43124.06049422667,0.0,0.0,0.0,0.9068887626023948,0.42137011316121753,13.88888888888889
89631.91035753688,43125.165107334484,0.0,0.0,0.0,0.8880063700855075,0.4598311501927209,13.88888888888889
89629.7659923769,43128.19958633445,0.0,0.0,0.0,0.8362950474218265,0.5482796673758066,13.88888888888889
89628.39788164345,43131.34574655302,0.0,0.0,0.0,0.8735828853486808,0.48667539739119087,13.88888888888889
89625.46544881866,43136.08350662111,0.0,0.0,0.0,0.8735828853490445,0.48667539739053817,13.88888888888889
