x,y,z,qx,qy,qz,qw,speed
89631.121885,43131.455007,0.000000,0,0,0.8932008,0.4496581,9.722220
89630.530495,43132.259038,0.000000,0,0,0.8915212,0.4529791,9.722220
89629.944583,43133.067074,0.000000,0,0,0.8900883,0.4557882,9.722220
89629.363414,43133.878515,0.000000,0,0,0.8888842,0.458132,9.722220
89628.786009,43134.692639,0.000000,0,0,0.8879505,0.459939,9.722220
89628.211500,43135.508805,0.000000,0,0,0.8872614,0.461267,9.722220
89627.639030,43136.326401,0.000000,0,0,0.8867723,0.4622065,9.722220
89627.067883,43137.144920,0.000000,0,0,0.8865816,0.4625723,9.722220
89626.496828,43137.963504,0.000000,0,0,0.8866177,0.462503,9.722220
89625.925768,43138.782084,0.000000,0,0,0.8866025,0.4625321,9.722220
89625.354713,43139.600668,0.000000,0,0,0.8866257,0.4624877,9.722220
89624.783647,43140.419244,0.000000,0,0,0.8865475,0.4626376,9.722220
89624.213236,43141.238278,0.000000,0,0,0.8863004,0.4631108,9.722220
89623.643693,43142.057916,0.000000,0,0,0.8860714,0.4635488,9.722220
89623.074749,43142.877970,0.000000,0,0,0.8859917,0.463701,9.722220
89622.505816,43143.698032,0.000000,0,0,0.8860162,0.4636544,9.722220
89621.936883,43144.518094,0.000000,0,0,0.8859935,0.4636977,9.722220
89621.368343,43145.338427,0.000000,0,0,0.8857215,0.464217,9.722220
89620.801437,43146.159888,0.000000,0,0,0.8851222,0.4653587,9.722220
89620.237005,43146.983048,0.000000,0,0,0.8843005,0.4669181,9.722220
89619.675517,43147.808215,0.000000,0,0,0.8836026,0.4682376,9.722220
89619.115950,43148.634685,0.000000,0,0,0.8830512,0.4692767,9.722220
89618.558860,43149.462789,0.000000,0,0,0.8822528,0.4707759,9.722220
89618.004865,43150.293179,0.000000,0,0,0.8811638,0.4728111,9.722220
89617.455580,43151.126954,0.000000,0,0,0.8794912,0.4759151,9.722220
89616.913909,43151.965442,0.000000,0,0,0.8767056,0.4810273,9.722220
89616.385264,43152.811986,0.000000,0,0,0.8720608,0.4893976,9.722220
89615.876468,43153.670343,0.000000,0,0,0.8653155,0.5012276,9.722220
89615.395487,43154.544835,0.000000,0,0,0.8556103,0.5176206,9.722220
89614.954143,43155.440580,0.000000,0,0,0.8418383,0.5397298,9.722220
89614.566686,43156.360468,0.000000,0,0,0.8235012,0.5673146,9.722220
89614.249160,43157.305967,0.000000,0,0,0.7989684,0.601373,8.888889
89614.022318,43158.276215,0.000000,0,0,0.7663524,0.6424204,8.888889
89613.907460,43159.265890,0.000000,0,0,0.7261867,0.6874976,7.222222
89613.912313,43160.265167,0.000000,0,0,0.6844147,0.7290929,7.222222
89614.033093,43161.257304,0.000000,0,0,0.6407096,0.7677833,7.500000
89614.276073,43162.222512,0.000000,0,0,0.5842522,0.8115722,8.333333
89614.688860,43163.135549,0.000000,0,0,0.4923004,0.8704253,8.333333
89615.308709,43163.905800,0.000000,0,0,0.3685781,0.9295968,7.777778
89616.105365,43164.502282,0.000000,0,0,0.2658803,0.9640061,8.333333
89617.004943,43164.928742,0.000000,0,0,0.1724839,0.9850123,9.722222
89617.976519,43165.170001,0.000000,0,0,0.0676898,0.9977064,9.722220
89618.975004,43165.187130,0.000000,0,0,-0.0528715,0.9986013,9.722220
89619.939644,43164.962297,0.000000,0,0,-0.1727687,0.9849624,9.722220
89620.832696,43164.527670,0.000000,0,0,-0.2740403,0.9617182,9.722220
89621.625043,43163.926758,0.000000,0,0,-0.3583381,0.9335919,9.722220
89622.329651,43163.219243,0.000000,0,0,-0.4018726,0.9156956,9.722220
89622.994544,43162.472702,0.000000,0,0,-0.4134962,0.9105059,9.722220
89623.647152,43161.715680,0.000000,0,0,-0.4221476,0.9065271,9.722220
89624.269113,43160.934418,0.000000,0,0,-0.4505046,0.8927741,9.722220
89624.833626,43160.111342,0.000000,0,0,-0.4761899,0.8793425,9.722220
89625.373694,43159.271860,0.000000,0,0,-0.4800825,0.8772234,9.722220
89625.913289,43158.431684,0.000000,0,0,-0.479026,0.8778007,9.722220
89626.453475,43157.592079,0.000000,0,0,-0.4788974,0.8778709,9.722220
89626.994222,43156.753268,0.000000,0,0,-0.4784081,0.8781376,9.722220
